id name Class Instance Module Pack Group
2025 commodity_Buff_Object_Bathtub_Play Commodity statistic statistics.commodity  
2027 buff_Object_Bathtub-Play Buff buff buffs.buff  
2030 commodity_StuffedAnimal_Love Commodity statistic statistics.commodity  
2033 StuffedAnimal CommodityBasedObjectState object_state objects.components.state  
2035 StuffedAnimalLove_Happy CommodityBasedObjectStateValue object_state objects.components.state  
2036 StuffedAnimalLove_Neutral CommodityBasedObjectStateValue object_state objects.components.state  
2037 StuffedAnimalLove_Sad CommodityBasedObjectStateValue object_state objects.components.state  
203F object_drink_Tea_Black GameObject object objects.game_object  
2041 buff_Object_Drink_Tea_Black Buff buff buffs.buff  
2042 Gardening_Water_All_low SuperInteraction interaction interactions.base.super_interaction  
2043 Loot_StuffedAnimal_Hug LootActions action interactions.utils.loot  
2044 StaticCommodity_WaterPlants StaticCommodity scommodity statistics.static_commodity  
2047 Loot_StuffedAnimal_Hit LootActions action interactions.utils.loot  
2048 cheat_emotionintensity PieMenuCategory pie_menu_category interactions.pie_menu_category  
2049 si_Immediate_StuffedAnimal_PlayWith SimPickerInteraction interaction interactions.base.picker_interaction  
204C DebugEmotionIntensity_Angry ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
204D DebugEmotionIntensity_Mortified ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
204E DebugEmotionIntensity_Stressed ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
204F DebugEmotionIntensity_Sloshed ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2050 DebugEmotionIntensity_Happy ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2051 DebugEmotionIntensity_Elated ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2052 DebugEmotionIntensity_Playful ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2053 DebugEmotionIntensity_InTheZone ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2054 DebugEmotionIntensity_Fine ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2055 DebugEmotionIntensity_Enraged ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2056 DebugEmotionIntensity_Furious ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2058 DebugEmotionIntensity_Sad ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2059 DebugEmotionIntensity_Uncomfortable ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
205A DebugEmotionIntensity_Depressed ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
205B DebugEmotionIntensity_Miserable ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
205C DebugEmotionIntensity_Bored ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
205D DebugEmotionIntensity_Embarrassed ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
205E DebugEmotionIntensity_Humiliated ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
205F DebugEmotionIntensity_Tense ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2060 DebugEmotionIntensity_Silly ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2061 DebugEmotionIntensity_Hysterical ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2062 DebugEmotionIntensity_Imaginative ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2063 DebugEmotionIntensity_Inspired ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2064 DebugEmotionIntensity_Energized ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2065 DebugEmotionIntensity_Pumped ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2066 DebugEmotionIntensity_Focused ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2067 DebugEmotionIntensity_Confident ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2068 DebugEmotionIntensity_Fearless ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
2069 DebugEmotionIntensity_Flirty ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
206A DebugEmotionIntensity_Passionate ImmediateSuperInteraction interaction interactions.base.immediate_interaction  
206C instrument_LicenseSong PieMenuCategory pie_menu_category interactions.pie_menu_category  
206D instrument_LicenseSong_Guitar PieMenuCategory pie_menu_category interactions.pie_menu_category  
206E object_drink_Tea_Green GameObject object objects.game_object  
206F instrument_LicenseSong_Piano PieMenuCategory pie_menu_category interactions.pie_menu_category  
2070 instrument_LicenseSong_Violin PieMenuCategory pie_menu_category interactions.pie_menu_category  
2071 buff_Object_Drink_Tea_Green Buff buff buffs.buff  
2073 Loot_Buff_DebugIntensity_Angry LootActions action interactions.utils.loot  
2074 Loot_Buff_DebugIntensity_Furious LootActions action interactions.utils.loot  
2076 Loot_Buff_DebugIntensity_Sad LootActions action interactions.utils.loot  
2077 Loot_Buff_DebugIntensity_Depressed LootActions action interactions.utils.loot  
2078 Loot_Buff_DebugIntensity_Uncomfortable LootActions action interactions.utils.loot  
2079 Loot_Buff_DebugIntensity_Miserable LootActions action interactions.utils.loot  
207A Loot_Buff_DebugIntensity_Bored LootActions action interactions.utils.loot  
207B Loot_Buff_DebugIntensity_Embarrassed LootActions action interactions.utils.loot  
207C Loot_Buff_DebugIntensity_Enraged LootActions action interactions.utils.loot  
207D Loot_Buff_DebugIntensity_Humiliated LootActions action interactions.utils.loot  
207E Loot_Buff_DebugIntensity_Fearless LootActions action interactions.utils.loot  
207F Loot_Buff_DebugIntensity_Focused LootActions action interactions.utils.loot  
2080 Loot_Buff_DebugIntensity_InTheZone LootActions action interactions.utils.loot  
2081 Loot_Buff_DebugIntensity_Energized LootActions action interactions.utils.loot  
2082 Loot_Buff_DebugIntensity_Pumped LootActions action interactions.utils.loot  
2083 Loot_Buff_DebugIntensity_Imaginative LootActions action interactions.utils.loot  
2084 Loot_Buff_DebugIntensity_Inspired LootActions action interactions.utils.loot  
2085 Loot_Buff_DebugIntensity_Elated LootActions action interactions.utils.loot  
2086 Loot_Buff_DebugIntensity_Mortified LootActions action interactions.utils.loot  
2087 Loot_Buff_DebugIntensity_Tense LootActions action interactions.utils.loot  
2088 Loot_Buff_DebugIntensity_Stressed LootActions action interactions.utils.loot  
2089 Loot_Buff_DebugIntensity_Fine LootActions action interactions.utils.loot  
208A Loot_Buff_DebugIntensity_Sloshed LootActions action interactions.utils.loot  
208B Loot_Buff_DebugIntensity_Flirty LootActions action interactions.utils.loot  
208C Loot_Buff_DebugIntensity_Passionate LootActions action interactions.utils.loot  
208D Loot_Buff_DebugIntensity_Confident LootActions action interactions.utils.loot  
208F Loot_Buff_DebugIntensity_Playful LootActions action interactions.utils.loot  
2090 Loot_Buff_DebugIntensity_Silly LootActions action interactions.utils.loot  
2091 Loot_Buff_DebugIntensity_Hysterical LootActions action interactions.utils.loot  
2092 Loot_Buff_DebugIntensity_Happy LootActions action interactions.utils.loot  
20C8 drink_Tea_Generic_Consume SuperInteraction interaction interactions.base.super_interaction  
20CB LicenseSong_Guitar LootActions action interactions.utils.loot  
20E0 Gardening_Water_Continuation SuperInteraction interaction interactions.base.super_interaction  
20F0 buff_Object_Drink_Tea_Oolong Buff buff buffs.buff  
20F1 object_drink_Tea_Oolong GameObject object objects.game_object  
20F4 buff_Object_Drink_Tea_Ginseng Buff buff buffs.buff  
20F5 object_drink_Tea_Ginseng GameObject object objects.game_object  
